URL,Reference,Description,Sizes,Inventory,Image,Color
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/a-line-cotton-dress_17001277,17001277,100% cotton fabric. Midi design. A-line design. Low neckline. Frill detail. Sleeveless. Thin Straps. Back zipper closure. Inner lining. The blue color is an online exclusive.,"0, 2, 4, 6, 8, 10, 12","Available, Available, Available, Available, Available, Available, Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/a-line-cotton-dress_17001277?c=52,17001277,100% cotton fabric. Midi design. A-line design. Low neckline. Frill detail. Sleeveless. Thin Straps. Back zipper closure. Inner lining. The blue color is an online exclusive.,"0, 2, 4, 6, 8, 10, 12","Available, Available, Available, Available, Available, Available, Available",,Blue
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/a-line-dress-with-draped-waist_87004081,87004081,Fluid fabric. Midi design. A-line design. Perkins collar. Sleeveless. Draped waist. Back zipper closure. Inner lining. The green color is exclusive online.,"2, 4, 6, 8, 10","Available, Available, Available, Last Few Items, Not Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/a-line-dress-with-pleats_87017186,87017186,A-line design. Midi design. Round neck. Sleeveless. Wide straps. Pleated panel at the waist. Zip and button closure at the back.,"0, 2, 4, 6, 8, 10, 12","Not Available, Available, Available, Available, Available, Available, Available",,Maroon
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/a-line-dress_77044073,77044073,Knitted fabric. Long design. A-line design. Round neck. Short sleeve. 100% cotton fabric. Combined design.,"2, 4, 6, 8, 10","Last Few Items, Available, Available, Available, Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/a-line-dress_87007193,87007193,"A-line design. Long design. Combined design. Halter neck. Sleeveless. Thin Straps. Pleated skirt. Back zipper closure. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","2, 4, 6, 8, 10","Available, Available, Available, Available, Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/a-line-dress_87047180,87047180,Fine knit fabric. Midi design. A-line design. Low neckline. Sleeveless. Thin Straps. Pleats detail. No closure. Exclusive Online.,"2, 4, 6, 8, 10","Available, Available, Available, Available, Available",,Chocolate
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/a-line-dress_87080589?c=37,87080589,100% Cotton. A-line design. Crop design. Round neck. Short sleeve. Elastic waistband. No closure. Unlined.,"2, 4, 6, 8, 10","Not Available, Not Available, Not Available, Not Available, Not Available",,Khaki
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/animal-print-dress-with-draped-neckline_17021163,17021163,Straight design. Midi design. Animal print. Zebra print. Draped neckline. Sleeveless. Thin adjustable straps. Side zipper closure.,"4, 6, 8","Available, Available, Available",,Brown
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/animal-print-ruffle-dress_87030621,87030621,Lightweight fabric. Short design. A-line design. V-neck. Wrap collar. Long flared sleeve. Fitted waist. Side closure. Ruffle detail at the hem. Lining only. Available in Plus.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Available, Available, Available, Available, Available, Available, Available, Available, Available, Available, Available",,Brown
