URL,Reference,Description,Sizes,Inventory,Image,Color
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/animal-print-ruffle-dress_87030621,87030621,Lightweight fabric. Short design. A-line design. V-neck. Wrap collar. Long flared sleeve. Fitted waist. Side closure. Ruffle detail at the hem. Lining only. Available in Plus.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Available, Available, Available, Available, Available, Available, Available, Available, Available, Available, Available",,Brown
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/animal-print-ruffled-dress_87010622,87010622,Lightweight fabric. A-line design. Short design. Animal print. Leopard print. V-neck. Wrap collar. Three quarter sleeve. Elastic cuffs. No closure. Ruffle detail at the hem. Lining only. Available in Plus.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Available, Available, Available, Available, Available, Available, Available, Available, Available, Available, Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/asymmetric-draped-gown_87060609,87060609,Flowy textured fabric. Lightweight fabric. Short design. Shaved design. Asymmetric neckline. Low neckline. Long sleeves. Gathered cuffs. Draped waist. Asymmetric hem. Side zipper closure. Lining only.,"2, 4, 6, 8, 10","Available, Available, Available, Available, Last Few Items",,Red
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/asymmetrical-combined-dress_77097688,77097688,Asymmetric design. Short design. Combined design. Straight design. Asymmetric neckline. Long sleeves. Bow on the waist. Side zipper closure. The model is 1.79 tall and is wearing a size 36. Fitted design.,"0, 2, 4, 6, 8, 10, 12","Not Available, Not Available, Available, Not Available, Not Available, Not Available, Not Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/asymmetrical-draped-short-dress_87075746,87075746,Fluid fabric. Shaved design. Asymmetric design. Short design. Off shoulder. Asymmetric neckline. Fitted design. Side zipper closure.,"2, 4, 6, 8, 10","Not Available, Not Available, Not Available, Last Few Items, Last Few Items",,Blue
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/asymmetrical-puff-sleeve-dress_87052532,87052532,100% cotton fabric. Slim silhouette. Shaved design. Short design. Asymmetric neckline. Puffed short sleeve. Side zipper closure. Inner lining.,"2, 4, 6, 8, 10","Available, Available, Last Few Items, Last Few Items, Last Few Items",,White
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/balloon-effect-textured-dress_87097718,87097718,Cotton blend fabric. Textured fabric. Short design. V-neck. Sleeveless. Thin Straps. Bubble hem. Back zipper closure. Selection Collection.,"2, 4, 6, 8","Available, Available, Available, Available",,White
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/belt-shirt-dress_87060583,87060583,Lightweight fabric. Straight design. Short design. Shirt Collar. Short sleeve. Front button closure. Nightgown-style belt. Unlined. Front closure.,"2, 4, 6, 8, 10","Last Few Items, Last Few Items, Available, Available, Last Few Items",,Beige
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/belted-blazer-dress_87070630,87070630,A-line design. Short design. Lapel-collar V-neck collar. Long sleeves. Three welt pockets on the front. Double button fastening. Lining only. Decorative belt.,"0, 2, 4, 6, 8, 10, 12","Not Available, Last Few Items, Last Few Items, Available, Available, Last Few Items, Last Few Items",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/bow-wrap-dress_77029060,77029060,Lightweight fabric. Front closure. Long sleeves. Lining only. Fluid fabric. Wrap design. Straight design. Short design. Lapel-collar V-neck collar. Wrap collar. Bow on the waist. Inner lining. Available in Plus.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Not Available, Available, Available, Available, Not Available, Last Few Items, Not Available, Not Available, Not Available, Not Available, Not Available",,Black
